10,10,10,10,10,10,10,10,10,10,10,74697
26,20,110,22,3,67,8,117,29,13,28,76180
52,15,70,16,18,72,95,99,54,42,87,76882
47,7,114,14,11,62,73,28,50,102,20,77418
13,78,89,96,83,67,31,34,94,32,37,75998
30,75,69,16,47,117,77,60,80,74,8,72932
33,37,87,116,87,102,108,113,23,83,29,76496
108,49,97,113,53,5,33,65,62,51,117,74871
101,73,105,10,62,97,33,4,0,18,84,76088
59,78,47,34,17,23,110,86,0,43,64,78931
30,38,13,92,50,61,19,11,8,2,51,73682
17,72,108,102,97,8,32,15,63,97,57,80022
41,19,50,83,6,9,105,68,12,46,74,76406
23,15,84,57,42,30,25,62,80,63,23,76287
26,1,66,94,4,20,116,30,2,7,112,75542
86,5,100,114,66,15,65,25,50,44,67,75740
60,34,84,67,85,44,18,48,1,47,61,78025
110,108,7,11,10,46,106,21,94,103,85,77358
66,53,103,38,46,37,22,98,90,90,69,75996
73,4,54,61,73,1,26,59,104,62,105,79506
57,110,71,109,118,99,59,57,65,109,75,76302
79,32,94,45,101,88,107,94,83,118,67,76666
46,60,61,36,53,29,57,0,52,109,84,80143
29,47,48,16,24,90,5,10,17,31,103,77695
118,99,37,114,106,10,2,75,39,54,48,73799
83,61,89,35,36,25,9,8,32,105,69,76794
26,33,49,3,24,28,50,93,72,0,82,77105
81,53,54,96,92,13,8,46,89,59,47,78107
1,60,14,97,50,18,87,5,17,14,68,76625
69,103,37,78,3,79,83,105,26,32,6,73225
21,53,88,53,81,36,61,107,27,101,60,78129
81,14,3,94,35,31,28,17,94,13,86,73145
4,36,89,97,18,59,47,85,89,101,12,72771
70,9,44,76,108,77,36,11,65,118,44,76795
87,77,11,119,79,85,107,95,106,81,65,76254
70,42,96,16,95,43,110,19,36,55,32,73835
14,95,16,69,76,91,22,28,16,81,59,76739
115,92,87,100,98,112,115,19,33,86,81,75879
42,7,2,102,117,116,101,36,112,10,0,72643
73,21,80,29,104,107,35,61,83,112,114,78124
9,118,27,18,38,89,115,30,63,3,92,77218
116,17,31,3,78,57,23,89,15,94,83,79882
95,116,25,84,26,55,76,69,7,16,99,75582
58,74,112,67,4,31,36,85,81,85,26,74489
67,45,74,3,107,29,115,3,112,49,46,77530
48,42,29,21,115,116,49,73,114,88,36,81994
48,98,118,107,107,1,27,119,111,39,81,72590
91,49,107,74,23,27,21,24,21,85,87,76464
45,8,55,70,58,73,43,32,65,49,50,75771
52,66,69,89,110,14,22,48,28,37,3,77978
70,40,16,71,91,68,38,101,64,24,91,76982
113,9,51,5,75,75,110,113,29,81,66,78414
63,109,34,46,81,114,31,88,60,98,42,77449
34,53,62,32,10,38,43,2,9,61,1,78268
74,25,26,94,82,25,5,24,57,51,45,74315
5,47,75,77,2,28,65,41,61,37,55,77200
34,6,112,92,65,61,109,47,52,4,117,78039
8,44,52,119,14,41,96,70,65,103,6,79477
31,107,64,70,20,31,105,29,106,70,32,74506
11,25,19,94,38,107,10,95,23,38,11,75823
78,109,113,27,58,64,91,61,119,91,66,80867
116,17,56,71,38,61,113,62,48,28,57,74990
56,56,37,119,116,32,61,84,11,49,95,80566
28,10,119,83,58,2,17,108,38,91,2,78772
118,73,22,8,104,30,114,59,39,114,85,79292
